Model_Name,Label,Accuracy,Precision,Recall,F1-Score
convnext_tiny,B,1.0,1.0,1.0,1.0
convnext_tiny,S,1.0,1.0,1.0,1.0
convnext_tiny,S:H,1.0,0.0,0.0,0.0
convnext_tiny,S:C,1.0,0.0,0.0,0.0
convnext_tiny,S:D,1.0,0.0,0.0,0.0
convnext_tiny,S:B,1.0,0.0,0.0,0.0
convnext_tiny,S:G,1.0,0.0,0.0,0.0
convnext_tiny,W,1.0,0.0,0.0,0.0
convnext_tiny,L,0.9955801367759705,0.6666666865348816,0.8571428656578064,0.75
convnext_tiny,O,1.0,0.0,0.0,0.0
convnext_tiny,M,0.9933701753616333,0.4000000059604645,0.4000000059604645,0.4000000059604645
convnext_tiny,I,0.9955801367759705,1.0,0.692307710647583,0.8181818127632141
convnext_tiny,N,1.0,0.0,0.0,0.0
convnext_tiny,E,1.0,0.0,0.0,0.0
convnext_tiny,P,0.8972375392913818,0.8815286755561829,1.0,0.937034547328949
convnext_tiny,Y,1.0,0.0,0.0,0.0
convnext_tiny,K,1.0,0.0,0.0,0.0
convnext_tiny,G,0.9988950490951538,0.0,0.0,0.0
convnext_tiny,T,1.0,0.0,0.0,0.0
convnext_tiny,F,1.0,0.0,0.0,0.0
convnext_tiny,C,0.9977900385856628,0.8333333134651184,1.0,0.9090909361839294
convnext_tiny,R,0.9955801367759705,0.0,0.0,0.0
convnext_tiny,NEG,0.8983425498008728,0.9803921580314636,0.3546099364757538,0.5208333134651184
